k,r,n,bound
5,6,100,-9.835435038814150763263902800607037797792540777888443242387812455942272128813099e-02
5,6,120,-4.300427567742587712148256762182570648231613544383382217276750786988693257004288e-02
5,6,140,-1.937118686116676300442458071676870866670076389101152667654841914737817010720378e-02
5,6,160,-8.909740338931849135080266880883946051959375251290284965442760888579757807565345e-03
5,6,180,-4.159079456284319034421274406225344295103223960746178154696154821280650367007059e-03
5,6,200,-1.960983882579838128149141826836905727972698132114008270415681683596171292793071e-03
5,6,220,-9.296986321768536170624317104667903427029342399815950565797070258473259296082088e-04
5,6,240,-4.409122660987237900332833451234355656732930153661327097618308767500523397780735e-04
5,6,260,-2.076630446259705959828402389886880226248332581539536976193175292657995337999068e-04
5,6,280,-9.598185857430496492262490212675858687204449494875964698191242456646403902718319e-05
5,6,300,-4.255608612413254793485094168120943076321875820360104737653855693922585982960934e-05
5,6,320,-1.717660697922479017630683431729571821343499726593819044306084052108273188010219e-05
5,6,340,-5.323229838271627179062486653913006885806736589103819546583139847239922338314553e-06
5,6,360,2.007639730433632593875412202366165069848158966043008772661842455730601384964388e-08
5,6,380,2.253758048236125289381011881642148235222467488020531579513364097382958576753328e-06
5,6,400,3.026586641567838094107042714616316281829134944910376565100963879000392758205603e-06
5,6,420,3.13554483542875421633364366161840350355294265010898304498351679871386599599503e-06
5,6,440,2.962601085197879126650997863157383482474236036447391932100909830315318648144268e-06
5,6,460,2.687745939808552320083106315807158922055468741644049745143335072976221430249541e-06
5,6,480,2.393030727006478257559492240224991129970522556084742100507140049041073086443886e-06
5,6,500,2.113473607254027568460106808540586667704106370193243520676741772943450621014502e-06
5,6,520,1.861941780691440374051141327038337384966621497446256755036076053658373164644007e-06
5,6,540,1.64117731101393879608160562284884003481550227500633428236503633487638075717286e-06
5,6,560,1.44962760975608748179471659824337963986888173671385403609858626211676951656696e-06
5,6,580,1.284157613793082571530869445455728235603927153256214242158715855241633573489189e-06
5,6,600,1.141298382740593705299882466385657425205842313522827108323526800769521914835215e-06
