Constraints,Num. vertices,Num. cliques,Min. gates
Counting,10,0,1.0
Counting,10,1,4.0
Counting,10,2,4.0
Counting,10,3,4.0
Counting,10,4,5.0
Counting,10,5,5.0
Counting,10,6,5.0
Counting,10,7,5.0
Counting,10,8,5.0
Counting,10,9,5.0
Counting,10,10,5.0
Counting,10,11,5.0
Counting,10,12,5.0
Counting,10,13,5.0
Counting,10,14,4.0
Counting,10,15,4.0
Counting,10,16,4.0
Counting,10,17,4.0
Counting,10,18,4.0
Counting,10,19,4.0
Counting,10,20,4.0
Counting,10,21,4.0
Counting,10,22,4.0
Counting,10,23,4.0
Counting,10,24,4.0
Counting,10,25,4.0
Counting,10,26,4.0
Counting,10,27,4.0
Counting,10,28,4.0
Counting,10,29,4.0
Counting,10,30,4.0
Counting,10,31,4.0
Counting,10,32,4.0
Counting,10,33,4.0
Counting,10,34,4.0
Counting,10,35,4.0
Counting,10,36,4.0
Counting,10,37,4.0
Counting,10,38,4.0
Counting,10,39,4.0
Counting,10,40,4.0
Counting,10,41,4.0
Counting,10,42,4.0
Counting,10,43,4.0
Counting,10,44,4.0
Counting,10,45,4.0
Counting,10,46,4.0
Counting,10,47,4.0
Counting,10,48,4.0
Counting,10,49,5.0
Counting,10,50,5.0
Counting,10,51,5.0
Counting,10,52,5.0
Counting,10,53,5.0
Counting,10,54,5.0
Counting,10,55,5.0
Counting,10,56,5.0
Counting,10,57,5.0
Counting,10,58,5.0
Counting,10,59,5.0
Counting,10,60,5.0
Counting,10,61,5.0
Counting,10,62,5.0
Counting,10,63,5.0
Counting,10,64,5.0
Counting,10,65,5.0
Counting,10,66,5.0
Counting,10,67,5.0
Counting,10,68,5.0
Counting,10,69,5.0
Counting,10,70,5.0
Counting,10,71,5.0
Counting,10,72,5.0
Counting,10,73,5.0
Counting,10,74,5.0
Counting,10,75,5.0
Counting,10,76,5.0
Counting,10,77,5.0
Counting,10,78,5.0
Counting,10,79,5.0
Counting,10,80,5.0
Counting,10,81,5.0
Counting,10,82,5.0
Counting,10,83,5.0
Counting,10,84,5.0
Counting,10,85,5.0
Counting,10,86,5.0
Counting,10,87,5.0
Counting,10,88,5.0
Counting,10,89,5.0
Counting,10,90,5.0
Counting,10,91,5.0
Counting,10,92,5.0
Counting,10,93,5.0
Counting,10,94,5.0
Counting,10,95,5.0
Counting,10,96,5.0
Counting,10,97,5.0
Counting,10,98,5.0
Counting,10,99,5.0
Counting,10,100,5.0
Counting,10,101,5.0
Counting,10,102,5.0
Counting,10,103,5.0
Counting,10,104,5.0
Counting,10,105,5.0
Counting,10,106,5.0
Counting,10,107,5.0
Counting,10,108,5.0
Counting,10,109,5.0
Counting,10,110,5.0
Counting,10,111,5.0
Counting,10,112,5.0
Counting,10,113,5.0
Counting,10,114,5.0
Counting,10,115,5.0
Counting,10,116,5.0
Counting,10,117,5.0
Counting,10,118,5.0
Counting,10,119,5.0
Counting,10,120,5.0
Counting,10,121,5.0
Counting,10,122,5.0
Counting,10,123,5.0
Counting,10,124,5.0
Counting,10,125,5.0
Counting,10,126,5.0
Counting,10,127,5.0
Counting,10,128,5.0
Counting,10,129,5.0
Counting,10,130,5.0
Counting,10,131,5.0
Counting,10,132,5.0
Counting,10,133,5.0
Counting,10,134,5.0
Counting,10,135,5.0
Counting,10,136,5.0
Counting,10,137,5.0
Counting,10,138,5.0
Counting,10,139,5.0
Counting,10,140,5.0
Counting,10,141,5.0
Counting,10,142,5.0
Counting,10,143,4.53914
Counting,10,144,4.0
Counting,10,145,4.0
Counting,10,146,4.0
Counting,10,147,4.0
Counting,10,148,4.0
Counting,10,149,4.0
Counting,10,150,4.0
Counting,10,151,4.0
Counting,10,152,4.0
Counting,10,153,4.0
Counting,10,154,4.0
Counting,10,155,4.0
Counting,10,156,4.0
Counting,10,157,4.0
Counting,10,158,4.0
Counting,10,159,4.0
Counting,10,160,4.0
Counting,10,161,4.0
Counting,10,162,4.0
Counting,10,163,4.0
Counting,10,164,4.0
Counting,10,165,4.0
Counting,10,166,4.0
Counting,10,167,4.0
Counting,10,168,4.0
Counting,10,169,4.0
Counting,10,170,4.0
Counting,10,171,4.0
Counting,10,172,4.0
Counting,10,173,4.0
Counting,10,174,4.0
Counting,10,175,4.0
Counting,10,176,4.0
Counting,10,177,4.0
Counting,10,178,4.0
Counting,10,179,4.0
Counting,10,180,4.0
Counting,10,181,4.0
Counting,10,182,4.0
Counting,10,183,4.0
Counting,10,184,4.0
Counting,10,185,4.0
Counting,10,186,4.0
Counting,10,187,4.0
Counting,10,188,4.0
Counting,10,189,4.0
Counting,10,190,4.0
Counting,10,191,4.0
Counting,10,192,4.0
Counting,10,193,4.0
Counting,10,194,4.0
Counting,10,195,4.0
Counting,10,196,4.0
Counting,10,197,4.0
Counting,10,198,4.0
Counting,10,199,4.0
Counting,10,200,4.0
Counting,10,201,4.0
Counting,10,202,4.0
Counting,10,203,4.0
Counting,10,204,4.0
Counting,10,205,4.0
Counting,10,206,4.0
Counting,10,207,4.0
Counting,10,208,4.0
Counting,10,209,4.0
Counting,10,210,1.0
Step,10,0,1.00598
Step,10,1,1.13573
Step,10,2,1.26778
Step,10,3,1.40149
Step,10,4,1.53791
Step,10,5,1.68073
Step,10,6,1.83762
Step,10,7,2.02095
Step,10,8,1.0
Step,10,9,1.0
Step,10,10,1.0
Step,10,11,1.0
Step,10,12,1.0
Step,10,13,1.0
Step,10,14,1.0
Step,10,15,1.0
Step,10,16,1.0
Step,10,17,1.0
Step,10,18,1.0
Step,10,19,1.0
Step,10,20,1.0
Step,10,21,1.0
Step,10,22,1.0
Step,10,23,1.0
Step,10,24,1.0
Step,10,25,1.0
Step,10,26,4.67241
Step,10,27,4.8774
Step,10,28,5.0
Step,10,29,1.0
Step,10,30,1.0
Step,10,31,1.0
Step,10,32,1.0
Step,10,33,1.0
Step,10,34,1.0
Step,10,35,1.0
Step,10,36,1.0
Step,10,37,1.0
Step,10,38,1.0
