Constraints,Num. vertices,Num. cliques,Min. gates
Counting,8,0,8.0
Counting,8,1,8.0
Counting,8,2,8.0
Counting,8,3,7.0
Counting,8,4,8.0
Counting,8,5,8.0
Counting,8,6,5.0
Counting,8,7,5.0
Counting,8,8,5.0
Counting,8,9,4.9867
Counting,8,10,8.0
Counting,8,11,8.0
Counting,8,12,8.0
Counting,8,13,8.0
Counting,8,14,8.0
Counting,8,15,8.0
Counting,8,16,8.0
Counting,8,17,8.0
Counting,8,18,8.0
Counting,8,19,8.0
Counting,8,20,8.0
Counting,8,21,8.0
Counting,8,22,8.0
Counting,8,23,8.0
Counting,8,24,8.0
Counting,8,25,8.0
Counting,8,26,8.0
Counting,8,27,8.0
Counting,8,28,8.0
Counting,8,29,8.0
Counting,8,30,8.0
Counting,8,31,7.08271
Counting,8,32,7.0
Counting,8,33,7.0
Counting,8,34,7.0
Counting,8,35,7.0
Counting,8,36,7.0
Counting,8,37,7.0
Counting,8,38,7.0
Counting,8,39,7.0
Counting,8,40,6.87846
Counting,8,41,6.0
Counting,8,42,6.0
Counting,8,43,6.0
Counting,8,44,6.0
Counting,8,45,6.0
Counting,8,46,5.0222
Counting,8,47,5.0
Counting,8,48,5.0
Counting,8,49,8.0
Counting,8,50,8.0
Counting,8,51,8.0
Counting,8,52,8.0
Counting,8,53,8.0
Counting,8,54,8.0
Counting,8,55,8.0
Counting,8,56,1.0
Combining,8,0,1.0
Combining,8,1,1.0
Combining,8,2,1.0
Combining,8,3,1.0
Combining,8,4,1.0
Combining,8,5,1.0
Combining,8,6,1.0
Combining,8,7,1.0
Combining,8,8,1.0
Combining,8,9,1.0
Combining,8,10,1.0
Combining,8,11,1.0
Combining,8,12,1.0
Combining,8,13,1.0
Combining,8,14,1.0
Combining,8,15,1.0
Combining,8,16,1.0
Combining,8,17,1.0
Combining,8,18,1.0
Combining,8,19,1.0
Combining,8,20,1.0
Combining,8,21,1.0
Combining,8,22,1.0
Combining,8,23,1.0
Combining,8,24,1.0
Combining,8,25,1.0
Combining,8,26,1.0
Combining,8,27,1.0
Combining,8,28,1.0
Combining,8,29,1.0
Combining,8,30,1.0
Combining,8,31,1.0
Combining,8,32,1.0
Combining,8,33,1.0
Combining,8,34,1.0
Combining,8,35,1.0
Combining,8,36,1.0
Combining,8,37,1.0
Combining,8,38,1.0
Combining,8,39,1.0
Combining,8,40,1.0
Combining,8,41,1.0
Combining,8,42,1.0
Combining,8,43,1.0
Combining,8,44,1.0
Combining,8,45,1.0
Combining,8,46,1.0
Combining,8,47,1.0
Combining,8,48,1.0
Combining,8,49,1.0
Combining,8,50,1.0
Combining,8,51,1.0
Combining,8,52,1.0
Combining,8,53,1.0
Combining,8,54,1.0
Combining,8,55,1.0
Combining,8,56,1.0
Counting and combining,8,0,7.50756
Counting and combining,8,1,9.0
Counting and combining,8,2,7.50756
Counting and combining,8,3,9.0
Counting and combining,8,4,7.50756
Counting and combining,8,5,9.0
Counting and combining,8,6,7.50756
Counting and combining,8,7,9.0
Counting and combining,8,8,7.50756
Counting and combining,8,9,9.0
Counting and combining,8,10,7.50756
Counting and combining,8,11,9.0
Counting and combining,8,12,7.50756
Counting and combining,8,13,9.0
Counting and combining,8,14,7.50756
Counting and combining,8,15,9.0
Counting and combining,8,16,7.50756
Counting and combining,8,17,9.0
Counting and combining,8,18,7.50756
Counting and combining,8,19,9.0
Counting and combining,8,20,7.50756
Counting and combining,8,21,9.0
Counting and combining,8,22,7.50756
Counting and combining,8,23,9.0
Counting and combining,8,24,7.50756
Counting and combining,8,25,9.0
Counting and combining,8,26,7.50756
Counting and combining,8,27,9.0
Counting and combining,8,28,7.50756
Counting and combining,8,29,9.0
Counting and combining,8,30,7.50756
Counting and combining,8,31,9.0
Counting and combining,8,32,7.50756
Counting and combining,8,33,9.0
Counting and combining,8,34,7.50756
Counting and combining,8,35,9.0
Counting and combining,8,36,7.50756
Counting and combining,8,37,9.0
Counting and combining,8,38,7.50756
Counting and combining,8,39,9.0
Counting and combining,8,40,7.50756
Counting and combining,8,41,9.0
Counting and combining,8,42,7.50756
Counting and combining,8,43,9.0
Counting and combining,8,44,7.50756
Counting and combining,8,45,9.0
Counting and combining,8,46,7.50756
Counting and combining,8,47,9.0
Counting and combining,8,48,7.50756
Counting and combining,8,49,9.0
Counting and combining,8,50,7.50756
Counting and combining,8,51,9.0
Counting and combining,8,52,7.50756
Counting and combining,8,53,9.0
Counting and combining,8,54,7.50756
Counting and combining,8,55,9.0
Counting and combining,8,56,1.75378
"Counting, combining, and no cliques",8,0,1.0
"Counting, combining, and no cliques",8,1,9.0
"Counting, combining, and no cliques",8,2,8.0
"Counting, combining, and no cliques",8,3,9.0
"Counting, combining, and no cliques",8,4,8.0
"Counting, combining, and no cliques",8,5,9.0
"Counting, combining, and no cliques",8,6,8.0
"Counting, combining, and no cliques",8,7,9.0
"Counting, combining, and no cliques",8,8,8.0
"Counting, combining, and no cliques",8,9,9.0
"Counting, combining, and no cliques",8,10,8.0
"Counting, combining, and no cliques",8,11,9.0
"Counting, combining, and no cliques",8,12,8.0
"Counting, combining, and no cliques",8,13,9.0
"Counting, combining, and no cliques",8,14,8.0
"Counting, combining, and no cliques",8,15,9.0
"Counting, combining, and no cliques",8,16,8.0
"Counting, combining, and no cliques",8,17,9.0
"Counting, combining, and no cliques",8,18,8.0
"Counting, combining, and no cliques",8,19,9.0
"Counting, combining, and no cliques",8,20,8.0
"Counting, combining, and no cliques",8,21,9.0
"Counting, combining, and no cliques",8,22,8.0
"Counting, combining, and no cliques",8,23,9.0
"Counting, combining, and no cliques",8,24,8.0
"Counting, combining, and no cliques",8,25,9.0
"Counting, combining, and no cliques",8,26,8.0
"Counting, combining, and no cliques",8,27,9.0
"Counting, combining, and no cliques",8,28,8.0
"Counting, combining, and no cliques",8,29,9.0
"Counting, combining, and no cliques",8,30,8.0
"Counting, combining, and no cliques",8,31,9.0
"Counting, combining, and no cliques",8,32,8.0
"Counting, combining, and no cliques",8,33,9.0
"Counting, combining, and no cliques",8,34,8.0
"Counting, combining, and no cliques",8,35,9.0
"Counting, combining, and no cliques",8,36,8.0
"Counting, combining, and no cliques",8,37,9.0
"Counting, combining, and no cliques",8,38,8.0
"Counting, combining, and no cliques",8,39,9.0
"Counting, combining, and no cliques",8,40,8.0
"Counting, combining, and no cliques",8,41,9.0
"Counting, combining, and no cliques",8,42,8.0
"Counting, combining, and no cliques",8,43,9.0
"Counting, combining, and no cliques",8,44,8.0
"Counting, combining, and no cliques",8,45,9.0
"Counting, combining, and no cliques",8,46,8.0
"Counting, combining, and no cliques",8,47,9.0
"Counting, combining, and no cliques",8,48,8.0
"Counting, combining, and no cliques",8,49,9.0
"Counting, combining, and no cliques",8,50,8.0
"Counting, combining, and no cliques",8,51,9.0
"Counting, combining, and no cliques",8,52,8.0
"Counting, combining, and no cliques",8,53,9.0
"Counting, combining, and no cliques",8,54,8.0
"Counting, combining, and no cliques",8,55,9.0
"Counting, combining, and no cliques",8,56,2.0
