Constraints,Num. vertices,Num. cliques,Min. gates
Counting,10,0,10.0
Counting,10,1,24.0
Counting,10,2,18.0
Counting,10,3,18.0
Counting,10,4,25.0
Counting,10,5,25.0
Counting,10,6,25.0
Counting,10,7,25.0
Counting,10,8,25.0
Counting,10,9,25.0
Counting,10,10,25.0
Counting,10,11,25.0
Counting,10,12,25.0
Counting,10,13,25.0
Counting,10,14,24.0
Counting,10,15,24.0
Counting,10,16,23.0
Counting,10,17,22.0
Counting,10,18,21.0
Counting,10,19,20.0
Counting,10,20,18.0
Counting,10,21,18.0
Counting,10,22,18.0
Counting,10,23,18.0
Counting,10,24,18.0
Counting,10,25,18.0
Counting,10,26,18.0
Counting,10,27,18.0
Counting,10,28,18.0
Counting,10,29,18.0
Counting,10,30,18.0
Counting,10,31,18.0
Counting,10,32,18.0
Counting,10,33,18.0
Counting,10,34,18.0
Counting,10,35,18.0
Counting,10,36,18.0
Counting,10,37,18.0
Counting,10,38,18.0
Counting,10,39,18.0
Counting,10,40,18.0
Counting,10,41,18.0
Counting,10,42,18.0
Counting,10,43,18.0
Counting,10,44,18.0
Counting,10,45,18.0
Counting,10,46,18.0
Counting,10,47,18.0
Counting,10,48,17.9702
Counting,10,49,25.0
Counting,10,50,25.0
Counting,10,51,25.0
Counting,10,52,25.0
Counting,10,53,25.0
Counting,10,54,25.0
Counting,10,55,25.0
Counting,10,56,25.0
Counting,10,57,25.0
Counting,10,58,25.0
Counting,10,59,25.0
Counting,10,60,25.0
Counting,10,61,25.0
Counting,10,62,25.0
Counting,10,63,25.0
Counting,10,64,25.0
Counting,10,65,25.0
Counting,10,66,25.0
Counting,10,67,25.0
Counting,10,68,25.0
Counting,10,69,25.0
Counting,10,70,25.0
Counting,10,71,25.0
Counting,10,72,25.0
Counting,10,73,25.0
Counting,10,74,25.0
Counting,10,75,25.0
Counting,10,76,25.0
Counting,10,77,25.0
Counting,10,78,25.0
Counting,10,79,25.0
Counting,10,80,25.0
Counting,10,81,25.0
Counting,10,82,25.0
Counting,10,83,25.0
Counting,10,84,25.0
Counting,10,85,25.0
Counting,10,86,25.0
Counting,10,87,25.0
Counting,10,88,25.0
Counting,10,89,25.0
Counting,10,90,25.0
Counting,10,91,25.0
Counting,10,92,25.0
Counting,10,93,25.0
Counting,10,94,25.0
Counting,10,95,25.0
Counting,10,96,25.0
Counting,10,97,25.0
Counting,10,98,25.0
Counting,10,99,25.0
Counting,10,100,25.0
Counting,10,101,25.0
Counting,10,102,25.0
Counting,10,103,25.0
Counting,10,104,25.0
Counting,10,105,25.0
Counting,10,106,25.0
Counting,10,107,25.0
Counting,10,108,25.0
Counting,10,109,25.0
Counting,10,110,25.0
Counting,10,111,25.0
Counting,10,112,25.0
Counting,10,113,25.0
Counting,10,114,25.0
Counting,10,115,25.0
Counting,10,116,25.0
Counting,10,117,25.0
Counting,10,118,25.0
Counting,10,119,25.0
Counting,10,120,25.0
Counting,10,121,25.0
Counting,10,122,25.0
Counting,10,123,25.0
Counting,10,124,25.0
Counting,10,125,25.0
Counting,10,126,25.0
Counting,10,127,25.0
Counting,10,128,25.0
Counting,10,129,25.0
Counting,10,130,25.0
Counting,10,131,25.0
Counting,10,132,25.0
Counting,10,133,25.0
Counting,10,134,25.0
Counting,10,135,25.0
Counting,10,136,25.0
Counting,10,137,25.0
Counting,10,138,25.0
Counting,10,139,25.0
Counting,10,140,25.0
Counting,10,141,25.0
Counting,10,142,25.0
Counting,10,143,25.0
Counting,10,144,24.7833
Counting,10,145,24.0
Counting,10,146,24.0
Counting,10,147,24.0
Counting,10,148,24.0
Counting,10,149,24.0
Counting,10,150,24.0
Counting,10,151,24.0
Counting,10,152,24.0
Counting,10,153,24.0
Counting,10,154,24.0
Counting,10,155,24.0
Counting,10,156,24.0
Counting,10,157,24.0
Counting,10,158,24.0
Counting,10,159,24.0
Counting,10,160,24.0
Counting,10,161,23.5803
Counting,10,162,23.0
Counting,10,163,23.0
Counting,10,164,23.0
Counting,10,165,23.0
Counting,10,166,23.0
Counting,10,167,23.0
Counting,10,168,23.0
Counting,10,169,23.0
Counting,10,170,23.0
Counting,10,171,23.0
Counting,10,172,22.7621
Counting,10,173,22.0
Counting,10,174,22.0
Counting,10,175,22.0
Counting,10,176,22.0
Counting,10,177,22.0
Counting,10,178,22.0
Counting,10,179,22.0
Counting,10,180,22.0
Counting,10,181,21.6431
Counting,10,182,21.0
Counting,10,183,21.0
Counting,10,184,21.0
Counting,10,185,21.0
Counting,10,186,21.0
Counting,10,187,21.0
Counting,10,188,20.9966
Counting,10,189,20.0
Counting,10,190,20.0
Counting,10,191,20.0
Counting,10,192,20.0
Counting,10,193,20.0
Counting,10,194,20.0
Counting,10,195,19.6556
Counting,10,196,19.0
Counting,10,197,19.0
Counting,10,198,19.0
Counting,10,199,19.0
Counting,10,200,19.0
Counting,10,201,18.4835
Counting,10,202,18.0
Counting,10,203,18.0
Counting,10,204,18.0
Counting,10,205,18.0
Counting,10,206,18.0
Counting,10,207,18.0
Counting,10,208,18.0
Counting,10,209,18.0
Counting,10,210,18.0
Counting,10,211,18.0
Counting,10,212,18.0
Counting,10,213,18.0
Counting,10,214,18.0
Counting,10,215,18.0
Counting,10,216,18.0
Counting,10,217,18.0
Counting,10,218,18.0
Counting,10,219,18.0
Counting,10,220,18.0
Counting,10,221,18.0
Counting,10,222,18.0
Counting,10,223,18.0
Counting,10,224,18.0
Counting,10,225,18.0
Counting,10,226,18.0
Counting,10,227,18.0
Counting,10,228,18.0
Counting,10,229,18.0
Counting,10,230,18.0
Counting,10,231,18.0
Counting,10,232,18.0
Counting,10,233,18.0
Counting,10,234,18.0
Counting,10,235,18.0
Counting,10,236,18.0
Counting,10,237,18.0
Counting,10,238,18.0
Counting,10,239,18.0
Counting,10,240,18.0
Counting,10,241,18.0
Counting,10,242,18.0
Counting,10,243,18.0
Counting,10,244,18.0
Counting,10,245,18.0
Counting,10,246,18.0
Counting,10,247,18.0
Counting,10,248,18.0
Counting,10,249,18.0
Counting,10,250,18.0
Counting,10,251,18.0
Counting,10,252,1.0
Counting and small,10,0,1.0
Counting and small,10,1,18.0
Counting and small,10,2,18.0
Counting and small,10,3,18.0
Counting and small,10,4,25.0
Counting and small,10,5,25.0
Counting and small,10,6,25.0
Counting and small,10,7,25.0
Counting and small,10,8,25.0
Counting and small,10,9,25.0
Counting and small,10,10,25.0
Counting and small,10,11,25.0
Counting and small,10,12,25.0
Counting and small,10,13,25.0
Counting and small,10,14,24.0
Counting and small,10,15,24.0
Counting and small,10,16,23.0
Counting and small,10,17,22.0
Counting and small,10,18,21.0
Counting and small,10,19,20.0
Counting and small,10,20,18.0
Counting and small,10,21,18.0
Counting and small,10,22,18.0
Counting and small,10,23,18.0
Counting and small,10,24,18.0
Counting and small,10,25,18.0
Counting and small,10,26,18.0
Counting and small,10,27,18.0
Counting and small,10,28,18.0
Counting and small,10,29,18.0
Counting and small,10,30,18.0
Counting and small,10,31,18.0
Counting and small,10,32,18.0
Counting and small,10,33,18.0
Counting and small,10,34,18.0
Counting and small,10,35,18.0
Counting and small,10,36,18.0
Counting and small,10,37,18.0
Counting and small,10,38,18.0
Counting and small,10,39,18.0
Counting and small,10,40,18.0
Counting and small,10,41,18.0
Counting and small,10,42,18.0
Counting and small,10,43,18.0
Counting and small,10,44,18.0
Counting and small,10,45,18.0
Counting and small,10,46,18.0
Counting and small,10,47,18.0
Counting and small,10,48,17.9702
Counting and small,10,49,25.0
Counting and small,10,50,25.0
Counting and small,10,51,25.0
Counting and small,10,52,25.0
Counting and small,10,53,25.0
Counting and small,10,54,25.0
Counting and small,10,55,25.0
Counting and small,10,56,25.0
Counting and small,10,57,25.0
Counting and small,10,58,25.0
Counting and small,10,59,25.0
Counting and small,10,60,25.0
Counting and small,10,61,25.0
Counting and small,10,62,25.0
Counting and small,10,63,25.0
Counting and small,10,64,25.0
Counting and small,10,65,25.0
Counting and small,10,66,25.0
Counting and small,10,67,25.0
Counting and small,10,68,25.0
Counting and small,10,69,25.0
Counting and small,10,70,25.0
Counting and small,10,71,25.0
Counting and small,10,72,25.0
Counting and small,10,73,25.0
Counting and small,10,74,25.0
Counting and small,10,75,25.0
Counting and small,10,76,25.0
Counting and small,10,77,25.0
Counting and small,10,78,25.0
Counting and small,10,79,25.0
Counting and small,10,80,25.0
Counting and small,10,81,25.0
Counting and small,10,82,25.0
Counting and small,10,83,25.0
Counting and small,10,84,25.0
Counting and small,10,85,25.0
Counting and small,10,86,25.0
Counting and small,10,87,25.0
Counting and small,10,88,25.0
Counting and small,10,89,25.0
Counting and small,10,90,25.0
Counting and small,10,91,25.0
Counting and small,10,92,25.0
Counting and small,10,93,25.0
Counting and small,10,94,25.0
Counting and small,10,95,25.0
Counting and small,10,96,25.0
Counting and small,10,97,25.0
Counting and small,10,98,25.0
Counting and small,10,99,25.0
Counting and small,10,100,25.0
Counting and small,10,101,25.0
Counting and small,10,102,25.0
Counting and small,10,103,25.0
Counting and small,10,104,25.0
Counting and small,10,105,25.0
Counting and small,10,106,25.0
Counting and small,10,107,25.0
Counting and small,10,108,25.0
Counting and small,10,109,25.0
Counting and small,10,110,25.0
Counting and small,10,111,25.0
Counting and small,10,112,25.0
Counting and small,10,113,25.0
Counting and small,10,114,25.0
Counting and small,10,115,25.0
Counting and small,10,116,25.0
Counting and small,10,117,25.0
Counting and small,10,118,25.0
Counting and small,10,119,25.0
Counting and small,10,120,25.0
Counting and small,10,121,25.0
Counting and small,10,122,25.0
Counting and small,10,123,25.0
Counting and small,10,124,25.0
Counting and small,10,125,25.0
Counting and small,10,126,25.0
Counting and small,10,127,25.0
Counting and small,10,128,25.0
Counting and small,10,129,25.0
Counting and small,10,130,25.0
Counting and small,10,131,25.0
Counting and small,10,132,25.0
Counting and small,10,133,25.0
Counting and small,10,134,25.0
Counting and small,10,135,25.0
Counting and small,10,136,25.0
Counting and small,10,137,25.0
Counting and small,10,138,25.0
Counting and small,10,139,25.0
Counting and small,10,140,25.0
Counting and small,10,141,25.0
Counting and small,10,142,25.0
Counting and small,10,143,25.0
Counting and small,10,144,24.7833
Counting and small,10,145,24.0
Counting and small,10,146,24.0
Counting and small,10,147,24.0
Counting and small,10,148,24.0
Counting and small,10,149,24.0
Counting and small,10,150,24.0
Counting and small,10,151,24.0
Counting and small,10,152,24.0
Counting and small,10,153,24.0
Counting and small,10,154,24.0
Counting and small,10,155,24.0
Counting and small,10,156,24.0
Counting and small,10,157,24.0
Counting and small,10,158,24.0
Counting and small,10,159,24.0
Counting and small,10,160,24.0
Counting and small,10,161,23.5803
Counting and small,10,162,23.0
Counting and small,10,163,23.0
Counting and small,10,164,23.0
Counting and small,10,165,23.0
Counting and small,10,166,23.0
Counting and small,10,167,23.0
Counting and small,10,168,23.0
Counting and small,10,169,23.0
Counting and small,10,170,23.0
Counting and small,10,171,23.0
Counting and small,10,172,22.7621
Counting and small,10,173,22.0
Counting and small,10,174,22.0
Counting and small,10,175,22.0
Counting and small,10,176,22.0
Counting and small,10,177,22.0
Counting and small,10,178,22.0
Counting and small,10,179,22.0
Counting and small,10,180,22.0
Counting and small,10,181,21.6431
Counting and small,10,182,21.0
Counting and small,10,183,21.0
Counting and small,10,184,21.0
Counting and small,10,185,21.0
Counting and small,10,186,21.0
Counting and small,10,187,21.0
Counting and small,10,188,20.9966
Counting and small,10,189,20.0
Counting and small,10,190,20.0
Counting and small,10,191,20.0
Counting and small,10,192,20.0
Counting and small,10,193,20.0
Counting and small,10,194,20.0
Counting and small,10,195,19.6556
Counting and small,10,196,19.0
Counting and small,10,197,19.0
Counting and small,10,198,19.0
Counting and small,10,199,19.0
Counting and small,10,200,19.0
Counting and small,10,201,18.4835
Counting and small,10,202,18.0
Counting and small,10,203,18.0
Counting and small,10,204,18.0
Counting and small,10,205,18.0
Counting and small,10,206,18.0
Counting and small,10,207,18.0
Counting and small,10,208,18.0
Counting and small,10,209,18.0
Counting and small,10,210,18.0
Counting and small,10,211,18.0
Counting and small,10,212,18.0
Counting and small,10,213,18.0
Counting and small,10,214,18.0
Counting and small,10,215,18.0
Counting and small,10,216,18.0
Counting and small,10,217,18.0
Counting and small,10,218,18.0
Counting and small,10,219,18.0
Counting and small,10,220,18.0
Counting and small,10,221,18.0
Counting and small,10,222,18.0
Counting and small,10,223,18.0
Counting and small,10,224,18.0
Counting and small,10,225,18.0
Counting and small,10,226,18.0
Counting and small,10,227,18.0
Counting and small,10,228,18.0
Counting and small,10,229,18.0
Counting and small,10,230,18.0
Counting and small,10,231,18.0
Counting and small,10,232,18.0
Counting and small,10,233,18.0
Counting and small,10,234,18.0
Counting and small,10,235,18.0
Counting and small,10,236,18.0
Counting and small,10,237,18.0
Counting and small,10,238,18.0
Counting and small,10,239,18.0
Counting and small,10,240,18.0
Counting and small,10,241,18.0
Counting and small,10,242,18.0
Counting and small,10,243,18.0
Counting and small,10,244,18.0
Counting and small,10,245,18.0
Counting and small,10,246,18.0
Counting and small,10,247,18.0
Counting and small,10,248,18.0
Counting and small,10,249,18.0
Counting and small,10,250,18.0
Counting and small,10,251,18.0
Counting and small,10,252,2.0
Counting and large,10,0,10.0
Counting and large,10,1,24.0
Counting and large,10,2,18.0
Counting and large,10,3,18.0
Counting and large,10,4,25.0
Counting and large,10,5,25.0
Counting and large,10,6,25.0
Counting and large,10,7,25.0
Counting and large,10,8,25.0
Counting and large,10,9,25.0
Counting and large,10,10,25.0
Counting and large,10,11,25.0
Counting and large,10,12,25.0
Counting and large,10,13,25.0
Counting and large,10,14,24.0
Counting and large,10,15,24.0
Counting and large,10,16,23.0
Counting and large,10,17,22.0
Counting and large,10,18,21.0
Counting and large,10,19,20.0
Counting and large,10,20,18.0
Counting and large,10,21,18.0
Counting and large,10,22,18.0
Counting and large,10,23,18.0
Counting and large,10,24,18.0
Counting and large,10,25,18.0
Counting and large,10,26,18.0
Counting and large,10,27,18.0
Counting and large,10,28,18.0
Counting and large,10,29,18.0
Counting and large,10,30,18.0
Counting and large,10,31,18.0
Counting and large,10,32,18.0
Counting and large,10,33,18.0
Counting and large,10,34,18.0
Counting and large,10,35,18.0
Counting and large,10,36,18.0
Counting and large,10,37,18.0
Counting and large,10,38,18.0
Counting and large,10,39,18.0
Counting and large,10,40,18.0
Counting and large,10,41,18.0
Counting and large,10,42,18.0
Counting and large,10,43,18.0
Counting and large,10,44,18.0
Counting and large,10,45,18.0
Counting and large,10,46,18.0
Counting and large,10,47,18.0
Counting and large,10,48,17.9702
Counting and large,10,49,25.0
Counting and large,10,50,25.0
Counting and large,10,51,25.0
Counting and large,10,52,25.0
Counting and large,10,53,25.0
Counting and large,10,54,25.0
Counting and large,10,55,25.0
Counting and large,10,56,25.0
Counting and large,10,57,25.0
Counting and large,10,58,25.0
Counting and large,10,59,25.0
Counting and large,10,60,25.0
Counting and large,10,61,25.0
Counting and large,10,62,25.0
Counting and large,10,63,25.0
Counting and large,10,64,25.0
Counting and large,10,65,25.0
Counting and large,10,66,25.0
Counting and large,10,67,25.0
Counting and large,10,68,25.0
Counting and large,10,69,25.0
Counting and large,10,70,25.0
Counting and large,10,71,25.0
Counting and large,10,72,25.0
Counting and large,10,73,25.0
Counting and large,10,74,25.0
Counting and large,10,75,25.0
Counting and large,10,76,25.0
Counting and large,10,77,25.0
Counting and large,10,78,25.0
Counting and large,10,79,25.0
Counting and large,10,80,25.0
Counting and large,10,81,25.0
Counting and large,10,82,25.0
Counting and large,10,83,25.0
Counting and large,10,84,25.0
Counting and large,10,85,25.0
Counting and large,10,86,25.0
Counting and large,10,87,25.0
Counting and large,10,88,25.0
Counting and large,10,89,25.0
Counting and large,10,90,25.0
Counting and large,10,91,25.0
Counting and large,10,92,25.0
Counting and large,10,93,25.0
Counting and large,10,94,25.0
Counting and large,10,95,25.0
Counting and large,10,96,25.0
Counting and large,10,97,25.0
Counting and large,10,98,25.0
Counting and large,10,99,25.0
Counting and large,10,100,25.0
Counting and large,10,101,25.0
Counting and large,10,102,25.0
Counting and large,10,103,25.0
Counting and large,10,104,25.0
Counting and large,10,105,25.0
Counting and large,10,106,25.0
Counting and large,10,107,25.0
Counting and large,10,108,25.0
Counting and large,10,109,25.0
Counting and large,10,110,25.0
Counting and large,10,111,25.0
Counting and large,10,112,25.0
Counting and large,10,113,25.0
Counting and large,10,114,25.0
Counting and large,10,115,25.0
Counting and large,10,116,25.0
Counting and large,10,117,25.0
Counting and large,10,118,25.0
Counting and large,10,119,25.0
Counting and large,10,120,25.0
Counting and large,10,121,25.0
Counting and large,10,122,25.0
Counting and large,10,123,25.0
Counting and large,10,124,25.0
Counting and large,10,125,25.0
Counting and large,10,126,25.0
Counting and large,10,127,25.0
Counting and large,10,128,25.0
Counting and large,10,129,25.0
Counting and large,10,130,25.0
Counting and large,10,131,25.0
Counting and large,10,132,25.0
Counting and large,10,133,25.0
Counting and large,10,134,25.0
Counting and large,10,135,25.0
Counting and large,10,136,25.0
Counting and large,10,137,25.0
Counting and large,10,138,25.0
Counting and large,10,139,25.0
Counting and large,10,140,25.0
Counting and large,10,141,25.0
Counting and large,10,142,25.0
Counting and large,10,143,25.0
Counting and large,10,144,24.7833
Counting and large,10,145,24.0
Counting and large,10,146,24.0
Counting and large,10,147,24.0
Counting and large,10,148,24.0
Counting and large,10,149,24.0
Counting and large,10,150,24.0
Counting and large,10,151,24.0
Counting and large,10,152,24.0
Counting and large,10,153,24.0
Counting and large,10,154,24.0
Counting and large,10,155,24.0
Counting and large,10,156,24.0
Counting and large,10,157,24.0
Counting and large,10,158,24.0
Counting and large,10,159,24.0
Counting and large,10,160,24.0
Counting and large,10,161,23.5803
Counting and large,10,162,23.0
Counting and large,10,163,23.0
Counting and large,10,164,23.0
Counting and large,10,165,23.0
Counting and large,10,166,23.0
Counting and large,10,167,23.0
Counting and large,10,168,23.0
Counting and large,10,169,23.0
Counting and large,10,170,23.0
Counting and large,10,171,23.0
Counting and large,10,172,22.7621
Counting and large,10,173,22.0
Counting and large,10,174,22.0
Counting and large,10,175,22.0
Counting and large,10,176,22.0
Counting and large,10,177,22.0
Counting and large,10,178,22.0
Counting and large,10,179,22.0
Counting and large,10,180,22.0
Counting and large,10,181,21.6431
Counting and large,10,182,21.0
Counting and large,10,183,21.0
Counting and large,10,184,21.0
Counting and large,10,185,21.0
Counting and large,10,186,21.0
Counting and large,10,187,21.0
Counting and large,10,188,20.9966
Counting and large,10,189,20.0
Counting and large,10,190,20.0
Counting and large,10,191,20.0
Counting and large,10,192,20.0
Counting and large,10,193,20.0
Counting and large,10,194,20.0
Counting and large,10,195,19.6556
Counting and large,10,196,19.0
Counting and large,10,197,19.0
Counting and large,10,198,19.0
Counting and large,10,199,19.0
Counting and large,10,200,19.0
Counting and large,10,201,18.4835
Counting and large,10,202,18.0
Counting and large,10,203,18.0
Counting and large,10,204,18.0
Counting and large,10,205,18.0
Counting and large,10,206,18.0
Counting and large,10,207,18.0
Counting and large,10,208,18.0
Counting and large,10,209,18.0
Counting and large,10,210,18.0
Counting and large,10,211,18.0
Counting and large,10,212,18.0
Counting and large,10,213,18.0
Counting and large,10,214,18.0
Counting and large,10,215,18.0
Counting and large,10,216,18.0
Counting and large,10,217,18.0
Counting and large,10,218,18.0
Counting and large,10,219,18.0
Counting and large,10,220,18.0
Counting and large,10,221,18.0
Counting and large,10,222,18.0
Counting and large,10,223,18.0
Counting and large,10,224,18.0
Counting and large,10,225,18.0
Counting and large,10,226,18.0
Counting and large,10,227,18.0
Counting and large,10,228,18.0
Counting and large,10,229,18.0
Counting and large,10,230,18.0
