Constraints,Num. vertices,Num. cliques,Min. gates
Counting,8,0,10.0
Counting,8,1,9.0
Counting,8,2,9.0
Counting,8,3,9.0
Counting,8,4,10.0
Counting,8,5,10.0
Counting,8,6,10.0
Counting,8,7,10.0
Counting,8,8,6.0
Counting,8,9,5.18235
Counting,8,10,9.0
Counting,8,11,9.0
Counting,8,12,9.0
Counting,8,13,9.0
Counting,8,14,9.0
Counting,8,15,9.0
Counting,8,16,9.0
Counting,8,17,9.0
Counting,8,18,9.0
Counting,8,19,9.0
Counting,8,20,9.0
Counting,8,21,9.0
Counting,8,22,9.0
Counting,8,23,9.0
Counting,8,24,9.0
Counting,8,25,9.0
Counting,8,26,9.0
Counting,8,27,9.0
Counting,8,28,9.0
Counting,8,29,9.0
Counting,8,30,9.0
Counting,8,31,9.0
Counting,8,32,9.0
Counting,8,33,9.0
Counting,8,34,9.0
Counting,8,35,9.0
Counting,8,36,9.0
Counting,8,37,9.0
Counting,8,38,9.0
Counting,8,39,9.0
Counting,8,40,9.0
Counting,8,41,9.0
Counting,8,42,9.0
Counting,8,43,9.0
Counting,8,44,9.0
Counting,8,45,8.22567
Counting,8,46,8.0
Counting,8,47,8.0
Counting,8,48,7.97933
Counting,8,49,10.0
Counting,8,50,10.0
Counting,8,51,10.0
Counting,8,52,10.0
Counting,8,53,10.0
Counting,8,54,10.0
Counting,8,55,10.0
Counting,8,56,10.0
Counting,8,57,10.0
Counting,8,58,10.0
Counting,8,59,10.0
Counting,8,60,10.0
Counting,8,61,10.0
Counting,8,62,10.0
Counting,8,63,10.0
Counting,8,64,10.0
Counting,8,65,10.0
Counting,8,66,10.0
Counting,8,67,10.0
Counting,8,68,10.0
Counting,8,69,10.0
Counting,8,70,1.0
Combining,8,0,1.0
Combining,8,1,10.0
Combining,8,2,10.0
Combining,8,3,10.0
Combining,8,4,10.0
Combining,8,5,10.0
Combining,8,6,10.0
Combining,8,7,10.0
Combining,8,8,10.0
Combining,8,9,10.0
Combining,8,10,10.0
Combining,8,11,10.0
Combining,8,12,10.0
Combining,8,13,10.0
Combining,8,14,10.0
Combining,8,15,10.0
Combining,8,16,10.0
Combining,8,17,10.0
Combining,8,18,10.0
Combining,8,19,10.0
Combining,8,20,10.0
Combining,8,21,10.0
Combining,8,22,10.0
Combining,8,23,10.0
Combining,8,24,10.0
